ISSUERTRADINGSYMBOL,RPTOWNERNAME,RPTOWNER_RELATIONSHIP,TRANS_DATE,TRANS_CODE,TRANS_SHARES,TRANS_PRICEPERSHARE,TransactionValue,alpha,beta,CAR
PYPL,Yeary Frank D,Director,2022-02-18,P,4500.0,103.96,467820.0,-0.0025876969385149,1.541238518706851,0.016089217506495397
UNH,BURKE RICHARD T,Director,2022-02-16,S,5000.0,476.72,2383600.0,0.0013632337937606,0.6690927336042354,-0.05861646668292505
AMZN,Selipsky Adam,Officer,2022-02-15,S,679.0,3150.92,2139474.68,-0.0007645746035492,1.0340862950803578,-0.01573066735006215
AMZN,Jassy Andrew R,"Director,Officer",2022-02-15,S,848.0,3150.92,2671980.16,-0.0007645746035492,1.0340862950803578,-0.01573066735006215
AMZN,Clark David H,Officer,2022-02-15,S,1027.0,3150.92,3235994.84,-0.0007645746035492,1.0340862950803578,-0.01573066735006215
AMZN,Zapolsky David,Officer,2022-02-15,S,1060.0,3150.92,3339975.2,-0.0007645746035492,1.0340862950803578,-0.01573066735006215
AMZN,Zapolsky David,Officer,2022-02-16,S,139.0,3115.81,433097.59,-0.0007380893822047,1.0317226044193146,0.00015028656877896784
AMZN,Olsavsky Brian T,Officer,2022-02-15,S,910.0,3150.92,2867337.2,-0.0007645746035492,1.0340862950803578,-0.01573066735006215
AMZN,Reynolds Shelley,Officer,2022-02-15,S,222.0,3150.92,699504.24,-0.0007645746035492,1.0340862950803578,-0.01573066735006215
MA,Mastercard Foundation,TenPercentOwner,2022-02-15,S,155060.0,379.77,58887136.2,-0.0006515401209276,1.3020330044452273,0.04383590277230112
MA,Mastercard Foundation,TenPercentOwner,2022-02-16,S,155061.0,380.33,58974350.13,-0.000530105617276,1.2980975356172826,0.06100216129405392
MA,Mastercard Foundation,TenPercentOwner,2022-02-11,S,155060.0,376.69,58409551.4,-0.0007521836714896,1.2897986847307332,-0.0068775455428718435
MA,Mastercard Foundation,TenPercentOwner,2022-02-14,S,155060.0,372.93,57826525.8,-0.0007075288362467,1.2890505141578386,0.028021300874320497
MA,Mastercard Foundation,TenPercentOwner,2022-02-10,S,155060.0,377.13,58477777.8,-0.0007605154228323,1.2906084369425583,0.008665380495694005
MSFT,SMITH BRADFORD L,Officer,2022-02-08,S,27860.0,304.64,8487270.4,0.0005513366116223,1.182103476864032,-0.02757571983433164
PYPL,DORMAN DAVID W,Director,2022-02-08,P,8400.0,119.33,1002372.0,-0.0030156680961975,1.5862068492273536,-0.3100994603651206
MA,Mastercard Foundation,TenPercentOwner,2022-02-08,S,155060.0,374.7,58100982.0,-0.0007140762648931,1.2894529616335593,0.008060617790394565
MA,Mastercard Foundation,TenPercentOwner,2022-02-09,S,155060.0,383.74,59502724.4,-0.0008082515744601,1.2877759948683374,0.0057277143790189725
MA,Mastercard Foundation,TenPercentOwner,2022-02-07,S,155060.0,377.5,58535150.0,-0.0006316709261547,1.305421769630173,-0.00638236804791761
V,MCINERNEY RYAN,Officer,2022-02-08,S,6466.0,226.11,1462027.26,-0.0006110514447439,1.0407509450067614,0.025958215872089643
PYPL,Alford Peggy,Officer,2022-02-04,S,4245.0,124.34,527823.3,-0.0028677229776793,1.603794594553636,-0.2776661390657246
PYPL,Yeary Frank D,Director,2022-02-04,P,4000.0,124.85,499400.0,-0.0028677229776793,1.603794594553636,-0.2776661390657246
AAPL,Adams Katherine L.,Officer,2022-02-03,S,2300.0,175.78,404294.0,6.115612487579342e-05,1.3501287752877742,0.03027993934852043
AAPL,Adams Katherine L.,Officer,2022-02-03,S,6400.0,174.32,1115648.0,6.115612487579342e-05,1.3501287752877742,0.03027993934852043
AAPL,Adams Katherine L.,Officer,2022-02-03,S,14242.0,175.08,2493489.3600000003,6.115612487579342e-05,1.3501287752877742,0.03027993934852043
AAPL,Adams Katherine L.,Officer,2022-02-03,S,2058.0,173.04,356116.32,6.115612487579342e-05,1.3501287752877742,0.03027993934852043
PYPL,SCHULMAN DANIEL H,"Director,Officer",2022-02-03,P,300.0,125.18,37554.0,-0.002709463814963,1.6215203937886131,-0.26329551974782484
