ISSUERTRADINGSYMBOL,RPTOWNERNAME,RPTOWNER_RELATIONSHIP,TRANS_DATE,TRANS_CODE,TRANS_SHARES,TRANS_PRICEPERSHARE,TransactionValue,alpha,beta
JNJ,Mongon Thibaut,Officer,2022-03-17,S,57.0,176.28,10047.96,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,57.0,176.28,10047.96,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,100.0,176.28,17628.0,0.00027175835379813693,0.25925358394320525
V,MATSCHULLAT ROBERT W,Director,2022-03-16,S,1114.0,210.94,234987.16,-0.0004224882347438425,1.1453551893187626
JNJ,Decker Robert J,Officer,2022-03-15,S,250.0,175.51,43877.5,0.0002766382983000148,0.25706312536707293
JNJ,Decker Robert J,Officer,2022-03-15,S,2000.0,175.51,351020.0,0.0002766382983000148,0.25706312536707293
JNJ,Decker Robert J,Officer,2022-03-15,S,2750.0,175.51,482652.5,0.0002766382983000148,0.25706312536707293
DIS,WOODFORD BRENT,Officer,2022-03-10,S,226.0,132.5,29945.0,-0.002103875924177013,0.9416050010865485
TSLA,Kirkhorn Zachary,Officer,2022-03-07,S,2389.0,845.39,2019636.71,0.0010218580549537966,1.671288176741293
TSLA,Baglino Andrew D,Officer,2022-03-07,S,897.0,845.39,758314.83,0.0010218580549537966,1.671288176741293
TSLA,Taneja Vaibhav,Officer,2022-03-07,S,1535.0,845.39,1297673.65,0.0010218580549537966,1.671288176741293
PYPL,Auerbach Jonathan,Officer,2022-03-04,S,40749.0,100.62,4100164.38,-0.0020856294880999588,1.4659914663769784
VZ,Silliman Craig L.,Officer,2022-03-03,S,1558.0,54.48,84879.84,-6.0721576482708416e-05,0.11961922326752665
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,600.0,857.65,514590.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1200.0,859.02,1030824.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1500.0,860.37,1290555.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1800.0,861.5,1550700.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1400.0,862.66,1207724.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1200.0,863.67,1036404.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1400.0,864.82,1210748.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,500.0,865.84,432920.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,600.0,866.92,520152.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,400.0,868.0,347200.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,11400.0,869.94,9917316.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,300.0,871.39,261417.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,300.0,872.6,261780.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,400.0,873.62,349448.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,200.0,874.73,174946.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,100.0,875.49,87549.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,300.0,878.27,263481.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,300.0,879.52,263856.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,100.0,880.74,88074.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,100.0,882.01,88201.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,600.0,885.32,531192.0,0.00107335328190553,1.77931832181312
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,300.0,886.23,265869.0,0.00107335328190553,1.77931832181312
PG,Moeller Jon R,"Director,Officer",2022-03-01,S,3231.0,153.51,495990.81,0.0010232751014743807,0.29910098374232563
PG,Moeller Jon R,"Director,Officer",2022-03-01,S,315.0,153.51,48355.65,0.0010232751014743807,0.29910098374232563
PG,Janzaruk Matthew W.,Officer,2022-03-01,S,155.0,153.51,23794.05,0.0010232751014743807,0.29910098374232563
PG,Majoras Deborah P,Officer,2022-03-01,S,1927.0,153.51,295813.77,0.0010232751014743807,0.29910098374232563
PG,Taylor David S,"Director,Officer",2022-03-01,S,12953.0,153.51,1988415.03,0.0010232751014743807,0.29910098374232563
PG,TASTAD CAROLYN M,Officer,2022-03-01,S,3730.0,153.51,572592.2999999999,0.0010232751014743807,0.29910098374232563
PG,Schulten Andre,Officer,2022-03-01,S,1335.0,153.51,204935.85,0.0010232751014743807,0.29910098374232563
PG,Keith R. Alexandra,Officer,2022-03-01,S,5777.0,153.51,886827.2699999999,0.0010232751014743807,0.29910098374232563
PG,Keith R. Alexandra,Officer,2022-03-01,S,1054.0,153.51,161799.53999999998,0.0010232751014743807,0.29910098374232563
TSLA,Baglino Andrew D,Officer,2022-02-28,S,3500.0,815.72,2855020.0,0.0008635520434337879,1.806097999054099
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,11208.0,242.88,2722199.04,0.0017143737119570224,2.1994779312013444
