Date,AAPL,ADBE,AMZN,BAC,BRK-B,DIS,GOOGL,HD,JNJ,JPM,MA,META,MSFT,NVDA,PG,PYPL,TSLA,UNH,V,VZ
2021-08-23,146.0228271484375,656.8599853515625,163.2935028076172,36.19560623168945,285.6199951171875,172.2526092529297,138.81065368652344,289.3877868652344,155.22518920898438,138.27308654785156,350.4886779785156,360.1869812011719,292.931396484375,21.882312774658203,126.94923400878906,274.6018371582031,235.43333435058594,389.6324462890625,225.4358367919922,40.40036392211914
2021-08-24,145.93502807617188,657.239990234375,165.28900146484375,36.699920654296875,286.0199890136719,173.03793334960938,140.01991271972656,286.8802185058594,153.28492736816406,139.12899780273438,351.2362060546875,362.32818603515625,290.9793701171875,21.717884063720703,125.9202651977539,277.110107421875,236.163330078125,387.8463439941406,225.53213500976562,40.101470947265625
2021-08-25,144.70603942871094,656.7999877929688,164.95899963378906,37.29270553588867,287.29998779296875,172.88279724121094,140.83023071289062,285.9795837402344,152.27117919921875,141.99685668945312,348.6343078613281,365.18310546875,290.392822265625,22.136428833007812,125.47175598144531,275.30572509765625,237.06666564941406,384.48455810546875,223.94346618652344,40.04315948486328
2021-08-26,143.90625,652.3900146484375,165.8000030517578,37.19538116455078,285.2699890136719,171.1860809326172,140.19732666015625,283.8604736328125,151.45835876464844,142.72923278808594,342.5762023925781,361.2080383300781,287.5851745605469,21.991931915283203,125.25190734863281,271.2706604003906,233.72000122070312,381.8372802734375,221.950439453125,39.80259323120117
2021-08-27,144.9401397705078,658.52001953125,167.48150634765625,37.59353256225586,286.6000061035156,174.65713500976562,142.73831176757812,285.5380859375,151.13504028320312,143.87637329101562,345.36248779296875,369.3861999511719,288.19091796875,22.5579776763916,125.1551513671875,275.9402160644531,237.30667114257812,383.5869445800781,224.0397491455078,39.926517486572266
2021-08-30,149.34886169433594,665.989990234375,171.07850646972656,36.85917282104492,285.6600036621094,174.50198364257812,143.31964111328125,288.82281494140625,151.77301025390625,141.57330322265625,342.7605895996094,377.3462829589844,291.912109375,22.60979461669922,125.70040130615234,285.9931640625,243.6366729736328,383.1654968261719,222.63400268554688,39.926517486572266
2021-08-31,148.09056091308594,663.7000122070312,173.5395050048828,36.938804626464844,285.7699890136719,175.78179931640625,143.4257049560547,288.01043701171875,151.30979919433594,141.14088439941406,336.1394348144531,376.0774230957031,290.2678527832031,22.311771392822266,125.22552490234375,286.1815185546875,245.24000549316406,381.3059387207031,220.58323669433594,40.09418487548828
2021-09-01,148.75384521484375,665.8900146484375,173.9499969482422,36.44334030151367,285.260009765625,177.89544677734375,143.9391632080078,287.2205505371094,151.84292602539062,140.93800354003906,339.382080078125,378.7242126464844,290.2198181152344,22.367589950561523,126.50071716308594,284.2879333496094,244.69667053222656,382.2952575683594,221.56527709960938,40.05044937133789
2021-09-02,149.8657684326172,664.6400146484375,173.156005859375,36.478912353515625,285.04998779296875,176.3247528076172,142.02760314941406,290.8591003417969,152.88296508789062,141.59092712402344,331.3337097167969,372.0131530761719,289.5659484863281,22.322738647460938,126.59744262695312,283.07843017578125,244.1300048828125,388.1210632324219,215.84613037109375,40.30559158325195
2021-09-03,150.4998016357422,666.5900268554688,173.90249633789062,36.505584716796875,281.8900146484375,175.49093627929688,142.4761505126953,293.16656494140625,152.97906494140625,140.7350311279297,330.3143005371094,372.984619140625,289.55633544921875,22.768274307250977,126.68540954589844,286.64752197265625,244.52333068847656,387.3424987792969,216.74156188964844,40.40764617919922
